frame,t_s,min_z,mean_z,v_max
197,0.039400,0.092392,0.292365,0.386114
198,0.039600,0.092315,0.292288,0.388074
199,0.039800,0.092237,0.292210,0.390033
200,0.040000,0.092159,0.292132,0.391993
201,0.040200,0.092080,0.292053,0.393953
202,0.040400,0.092001,0.291974,0.395913
203,0.040600,0.091922,0.291895,0.397873
204,0.040800,0.091842,0.291815,0.399833
205,0.041000,0.091762,0.291735,0.401793
206,0.041200,0.091681,0.291654,0.403752
207,0.041400,0.091600,0.291573,0.405712
208,0.041600,0.091519,0.291492,0.407672
209,0.041800,0.091437,0.291410,0.409632
210,0.042000,0.091355,0.291328,0.411592
211,0.042200,0.091272,0.291245,0.413551
212,0.042400,0.091189,0.291163,0.415511
213,0.042600,0.091106,0.291079,0.417471
214,0.042800,0.091022,0.290996,0.419431
215,0.043000,0.090938,0.290911,0.421391
216,0.043200,0.090854,0.290827,0.423351
217,0.043400,0.090769,0.290742,0.425310
218,0.043600,0.090684,0.290657,0.427270
219,0.043800,0.090598,0.290571,0.429230
220,0.044000,0.090512,0.290485,0.431190
221,0.044200,0.090426,0.290399,0.433150
222,0.044400,0.090339,0.290312,0.435110
223,0.044600,0.090252,0.290225,0.437070
224,0.044800,0.090164,0.290137,0.439029
225,0.045000,0.090076,0.290049,0.440989
226,0.045200,0.089987,0.289961,0.442949
227,0.045400,0.089899,0.289872,0.444909
228,0.045600,0.089809,0.289783,0.446869
229,0.045800,0.089720,0.289693,0.448829
230,0.046000,0.089630,0.289603,0.450788
231,0.046200,0.089540,0.289513,0.452748
232,0.046400,0.089449,0.289422,0.454708
233,0.046600,0.089358,0.289331,0.456668
234,0.046800,0.089266,0.289239,0.458628
235,0.047000,0.089174,0.289147,0.460587
236,0.047200,0.089082,0.289055,0.462547
237,0.047400,0.088989,0.288962,0.464507
238,0.047600,0.088896,0.288869,0.466467
239,0.047800,0.088803,0.288776,0.468427
240,0.048000,0.088709,0.288682,0.470387
241,0.048200,0.088614,0.288588,0.472346
242,0.048400,0.088520,0.288493,0.474306
243,0.048600,0.088425,0.288398,0.476266
244,0.048800,0.088329,0.288302,0.478226
245,0.049000,0.088233,0.288206,0.480186
246,0.049200,0.088137,0.288110,0.482146
247,0.049400,0.088040,0.288014,0.484105
248,0.049600,0.087943,0.287917,0.486065
249,0.049800,0.087846,0.287819,0.488025
250,0.050000,0.087748,0.287721,0.489985
251,0.050200,0.087650,0.287623,0.491945
252,0.050400,0.087551,0.287525,0.493905
253,0.050600,0.087452,0.287426,0.495864
254,0.050800,0.087353,0.287326,0.497824
255,0.051000,0.087253,0.287226,0.499784
256,0.051200,0.087153,0.287126,0.501744
257,0.051400,0.087053,0.287026,0.503704
258,0.051600,0.086952,0.286925,0.505664
259,0.051800,0.086850,0.286823,0.507623
260,0.052000,0.086749,0.286722,0.509584
261,0.052200,0.086646,0.286620,0.511544
262,0.052400,0.086544,0.286517,0.513503
263,0.052600,0.086441,0.286414,0.515463
264,0.052800,0.086338,0.286311,0.517423
265,0.053000,0.086234,0.286207,0.519383
266,0.053200,0.086130,0.286103,0.521343
267,0.053400,0.086025,0.285999,0.523302
268,0.053600,0.085921,0.285894,0.525262
269,0.053800,0.085815,0.285788,0.527222
270,0.054000,0.085710,0.285683,0.529182
271,0.054200,0.085604,0.285577,0.531142
272,0.054400,0.085497,0.285470,0.533102
273,0.054600,0.085390,0.285364,0.535061
274,0.054800,0.085283,0.285256,0.537021
275,0.055000,0.085176,0.285149,0.538981
276,0.055200,0.085068,0.285041,0.540941
277,0.055400,0.084959,0.284932,0.542901
278,0.055600,0.084850,0.284824,0.544860
279,0.055800,0.084741,0.284714,0.546820
280,0.056000,0.084632,0.284605,0.548780
281,0.056200,0.084522,0.284495,0.550740
282,0.056400,0.084411,0.284384,0.552700
283,0.056600,0.084301,0.284274,0.554660
284,0.056800,0.084189,0.284163,0.556619
285,0.057000,0.084078,0.284051,0.558579
286,0.057200,0.083966,0.283939,0.560539
287,0.057400,0.083854,0.283827,0.562499
288,0.057600,0.083741,0.283714,0.564459
289,0.057800,0.083628,0.283601,0.566418
290,0.058000,0.083514,0.283487,0.568378
291,0.058200,0.083400,0.283374,0.570338
292,0.058400,0.083286,0.283259,0.572298
293,0.058600,0.083172,0.283145,0.574258
294,0.058800,0.083057,0.283030,0.576217
295,0.059000,0.082941,0.282914,0.578177
296,0.059200,0.082825,0.282798,0.580137
