frame,t_s,min_z,mean_z,v_max
205,0.082000,0.067050,0.267023,0.803559
206,0.082400,0.066728,0.266701,0.807479
207,0.082800,0.066404,0.266377,0.811398
208,0.083200,0.066079,0.266052,0.815318
209,0.083600,0.065752,0.265725,0.819238
210,0.084000,0.065423,0.265396,0.823158
211,0.084400,0.065093,0.265066,0.827078
212,0.084800,0.064761,0.264735,0.830997
213,0.085200,0.064428,0.264401,0.834917
214,0.085600,0.064094,0.264067,0.838836
215,0.086000,0.063757,0.263730,0.842756
216,0.086400,0.063419,0.263392,0.846676
217,0.086800,0.063080,0.263053,0.850596
218,0.087200,0.062739,0.262712,0.854515
219,0.087600,0.062396,0.262369,0.858435
220,0.088000,0.062052,0.262025,0.862355
221,0.088400,0.061706,0.261679,0.866274
222,0.088800,0.061359,0.261332,0.870194
223,0.089200,0.061010,0.260983,0.874114
224,0.089600,0.060660,0.260633,0.878034
225,0.090000,0.060308,0.260281,0.881953
226,0.090400,0.059954,0.259927,0.885873
227,0.090800,0.059599,0.259572,0.889793
228,0.091200,0.059242,0.259215,0.893712
229,0.091600,0.058884,0.258857,0.897632
230,0.092000,0.058524,0.258497,0.901552
231,0.092400,0.058163,0.258136,0.905471
232,0.092800,0.057800,0.257773,0.909391
233,0.093200,0.057435,0.257408,0.913311
234,0.093600,0.057069,0.257042,0.917231
235,0.094000,0.056701,0.256674,0.921151
236,0.094400,0.056332,0.256305,0.925070
237,0.094800,0.055961,0.255934,0.928990
238,0.095200,0.055589,0.255562,0.932909
239,0.095600,0.055215,0.255188,0.936829
240,0.096000,0.054839,0.254812,0.940749
241,0.096400,0.054462,0.254435,0.944669
242,0.096800,0.054083,0.254057,0.948588
243,0.097200,0.053703,0.253676,0.952509
244,0.097600,0.053321,0.253295,0.956428
245,0.098000,0.052938,0.252911,0.960348
246,0.098400,0.052553,0.252526,0.964268
247,0.098800,0.052167,0.252140,0.968187
248,0.099200,0.051778,0.251752,0.972107
249,0.099600,0.051389,0.251362,0.976027
250,0.100000,0.050998,0.250971,0.979946
251,0.100400,0.050605,0.250578,0.983866
252,0.100800,0.050210,0.250184,0.987786
253,0.101200,0.049815,0.249788,0.991705
254,0.101600,0.049417,0.249390,0.995625
255,0.102000,0.049018,0.248991,0.999545
256,0.102400,0.048617,0.248591,1.003465
257,0.102800,0.048215,0.248188,1.007385
258,0.103200,0.047811,0.247785,1.011304
259,0.103600,0.047406,0.247379,1.015224
260,0.104000,0.046999,0.246972,1.019145
261,0.104400,0.046591,0.246564,1.023064
262,0.104800,0.046181,0.246154,1.026984
263,0.105200,0.045769,0.245742,1.030903
264,0.105600,0.045356,0.245329,1.034823
265,0.106000,0.044941,0.244915,1.038743
266,0.106400,0.044525,0.244498,1.042662
267,0.106800,0.044107,0.244080,1.046582
268,0.107200,0.043688,0.243661,1.050501
269,0.107600,0.043267,0.243240,1.054421
270,0.108000,0.042844,0.242817,1.058341
271,0.108400,0.042420,0.242393,1.062261
272,0.108800,0.041994,0.241968,1.066180
273,0.109200,0.041567,0.241540,1.070099
274,0.109600,0.041138,0.241111,1.074019
275,0.110000,0.040708,0.240681,1.077939
276,0.110400,0.040276,0.240249,1.081859
277,0.110800,0.039842,0.239815,1.085779
278,0.111200,0.039407,0.239380,1.089699
279,0.111600,0.038970,0.238944,1.093619
280,0.112000,0.038532,0.238505,1.097538
281,0.112400,0.038092,0.238066,1.101458
282,0.112800,0.037651,0.237624,1.105378
283,0.113200,0.037208,0.237181,1.109297
284,0.113600,0.036764,0.236737,1.113217
285,0.114000,0.036317,0.236291,1.117137
286,0.114400,0.035870,0.235843,1.121057
287,0.114800,0.035421,0.235394,1.124976
288,0.115200,0.034970,0.234943,1.128896
289,0.115600,0.034517,0.234491,1.132816
290,0.116000,0.034063,0.234037,1.136735
291,0.116400,0.033608,0.233581,1.140655
292,0.116800,0.033151,0.233124,1.144575
293,0.117200,0.032692,0.232666,1.148494
294,0.117600,0.032232,0.232205,1.152414
295,0.118000,0.031770,0.231744,1.156334
296,0.118400,0.031307,0.231280,1.160254
297,0.118800,0.030842,0.230815,1.164173
298,0.119200,0.030376,0.230349,1.168093
299,0.119600,0.029908,0.229881,1.172013
300,0.120000,0.029438,0.229411,1.175933
301,0.120400,0.028967,0.228940,1.179852
302,0.120800,0.028494,0.228467,1.183772
303,0.121200,0.028020,0.227993,1.187691
304,0.121600,0.027545,0.227517,1.191959
305,0.122000,0.027073,0.227040,1.195778
306,0.122400,0.026606,0.226561,1.200243
307,0.122800,0.026149,0.226081,1.204574
308,0.123200,0.025706,0.225601,1.209341
309,0.123600,0.025281,0.225122,1.214363
310,0.124000,0.024885,0.224645,1.219405
311,0.124400,0.024523,0.224172,1.223457
312,0.124800,0.024202,0.223706,1.228708
313,0.125200,0.023923,0.223247,1.233965
314,0.125600,0.023688,0.222798,1.238292
315,0.126000,0.023496,0.222362,1.242061
316,0.126400,0.023341,0.221938,1.246284
317,0.126800,0.023218,0.221529,1.249565
318,0.127200,0.023124,0.221135,1.251789
319,0.127600,0.023053,0.220755,1.252809
320,0.128000,0.023001,0.220391,1.253588
321,0.128400,0.022970,0.220041,1.257201
322,0.128800,0.022959,0.219704,1.261355
323,0.129200,0.022960,0.219380,1.265551
324,0.129600,0.022979,0.219068,1.269880
325,0.130000,0.023017,0.218765,1.274211
326,0.130400,0.023072,0.218471,1.278646
327,0.130800,0.023139,0.218184,1.283066
328,0.131200,0.023200,0.217903,1.287502
329,0.131600,0.023273,0.217626,1.291963
330,0.132000,0.023335,0.217352,1.296292
331,0.132400,0.023279,0.217081,1.300632
332,0.132800,0.023224,0.216810,1.305039
333,0.133200,0.023171,0.216540,1.309456
334,0.133600,0.023119,0.216269,1.313859
335,0.134000,0.023069,0.215996,1.318248
336,0.134400,0.023019,0.215723,1.322616
337,0.134800,0.022970,0.215448,1.326962
338,0.135200,0.022923,0.215171,1.331286
339,0.135600,0.022876,0.214892,1.335592
340,0.136000,0.022830,0.214612,1.339882
341,0.136400,0.022784,0.214330,1.344159
342,0.136800,0.022740,0.214046,1.348425
343,0.137200,0.022697,0.213761,1.352681
344,0.137600,0.022654,0.213474,1.356929
345,0.138000,0.022612,0.213186,1.361167
346,0.138400,0.022571,0.212896,1.365397
347,0.138800,0.022530,0.212604,1.369621
348,0.139200,0.022490,0.212311,1.373837
